"","Year","Team","ThreeOrTwo","FGA"
"343",2007,"Toronto Raptors","THREEPA",17.9
"344",2007,"Seattle SuperSonics","THREEPA",17.7
"345",2007,"Chicago Bulls","THREEPA",15.1
"346",2007,"San Antonio Spurs","THREEPA",19
"347",2007,"New Jersey Nets","THREEPA",20.4
"348",2007,"New York Knicks","THREEPA",16.7
"349",2007,"Houston Rockets","THREEPA",23.1
"350",2007,"Charlotte Bobcats","THREEPA",15.6
"351",2007,"Cleveland Cavaliers","THREEPA",17.1
"352",2007,"Minnesota Timberwolves","THREEPA",13.3
"353",2007,"Detroit Pistons","THREEPA",15.9
"354",2007,"Boston Celtics","THREEPA",15.6
"355",2007,"Los Angeles Clippers","THREEPA",11
"356",2007,"Indiana Pacers","THREEPA",16.9
"357",2007,"New Orleans/Oklahoma City Hornets","THREEPA",15.3
"358",2007,"Philadelphia 76ers","THREEPA",10
"359",2007,"Orlando Magic","THREEPA",11.7
"360",2007,"Miami Heat","THREEPA",18.8
"361",2007,"Portland Trail Blazers","THREEPA",15
"362",2007,"Atlanta Hawks","THREEPA",12.7
"363",2007,"League Average","THREEPA",16.9
"364",2008,"Golden State Warriors","THREEPA",26.6
"365",2008,"Denver Nuggets","THREEPA",19.6
"366",2008,"Phoenix Suns","THREEPA",21.5
"367",2008,"Los Angeles Lakers","THREEPA",21.4
"368",2008,"Utah Jazz","THREEPA",13.4
"369",2008,"Orlando Magic","THREEPA",25.3
"370",2008,"Indiana Pacers","THREEPA",24.6
"371",2008,"Sacramento Kings","THREEPA",16.7
"372",2008,"New Orleans Hornets","THREEPA",19.8
"373",2008,"Memphis Grizzlies","THREEPA",21.7
"374",2008,"Boston Celtics","THREEPA",19.1
"375",2008,"Dallas Mavericks","THREEPA",17.1
"376",2008,"Toronto Raptors","THREEPA",17.8
"377",2008,"Washington Wizards","THREEPA",19.7
"378",2008,"Atlanta Hawks","THREEPA",13.1
"379",2008,"Seattle SuperSonics","THREEPA",11.5
"380",2008,"Detroit Pistons","THREEPA",16.2
"381",2008,"Chicago Bulls","THREEPA",15.9
"382",2008,"Charlotte Bobcats","THREEPA",17.6
"383",2008,"Milwaukee Bucks","THREEPA",16
"384",2008,"New York Knicks","THREEPA",17.7
"385",2008,"Houston Rockets","THREEPA",20.8
"386",2008,"Philadelphia 76ers","THREEPA",11.6
"387",2008,"Cleveland Cavaliers","THREEPA",18.8
"388",2008,"New Jersey Nets","THREEPA",17.4
"389",2008,"Minnesota Timberwolves","THREEPA",15.4
"390",2008,"San Antonio Spurs","THREEPA",19.6
"391",2008,"Portland Trail Blazers","THREEPA",17.4
"392",2008,"Los Angeles Clippers","THREEPA",13.2
"393",2008,"Miami Heat","THREEPA",16.7
"394",2008,"League Average","THREEPA",18.1
"395",2009,"Phoenix Suns","THREEPA",17.6
"396",2009,"Golden State Warriors","THREEPA",18
"397",2009,"Los Angeles Lakers","THREEPA",18.5
"398",2009,"New York Knicks","THREEPA",27.9
"399",2009,"Indiana Pacers","THREEPA",21
"400",2009,"Denver Nuggets","THREEPA",18
"401",2009,"Utah Jazz","THREEPA",13.7
"402",2009,"Chicago Bulls","THREEPA",15.8
"403",2009,"Dallas Mavericks","THREEPA",19.9
"404",2009,"Orlando Magic","THREEPA",26.2
"405",2009,"Boston Celtics","THREEPA",16.5
"406",2009,"Sacramento Kings","THREEPA",19.4
"407",2009,"Cleveland Cavaliers","THREEPA",20.4
"408",2009,"Portland Trail Blazers","THREEPA",19
"409",2009,"Milwaukee Bucks","THREEPA",17.2
"410",2009,"Toronto Raptors","THREEPA",15.7
"411",2009,"Houston Rockets","THREEPA",20.2
"412",2009,"Miami Heat","THREEPA",19.9
"413",2009,"Atlanta Hawks","THREEPA",19.9
"414",2009,"New Jersey Nets","THREEPA",21.2
"415",2009,"Minnesota Timberwolves","THREEPA",18.8
"416",2009,"Philadelphia 76ers","THREEPA",13.1
"417",2009,"San Antonio Spurs","THREEPA",19.8
"418",2009,"Oklahoma City Thunder","THREEPA",11.6
"419",2009,"Washington Wizards","THREEPA",14.6
"420",2009,"New Orleans Hornets","THREEPA",18.6
"421",2009,"Los Angeles Clippers","THREEPA",18.5
"422",2009,"Detroit Pistons","THREEPA",13.2
"423",2009,"Memphis Grizzlies","THREEPA",13.5
"424",2009,"Charlotte Bobcats","THREEPA",16.3
"425",2009,"League Average","THREEPA",18.1
"426",2010,"Phoenix Suns","THREEPA",21.6
"427",2010,"Golden State Warriors","THREEPA",20.6
"428",2010,"Denver Nuggets","THREEPA",18.5
"429",2010,"Utah Jazz","THREEPA",14.7
"430",2010,"Toronto Raptors","THREEPA",17
"431",2010,"Orlando Magic","THREEPA",27.3
"432",2010,"Memphis Grizzlies","THREEPA",12.4
"433",2010,"Houston Rockets","THREEPA",22.4
"434",2010,"Cleveland Cavaliers","THREEPA",19.3
"435",2010,"New York Knicks","THREEPA",26.2
"436",2010,"Dallas Mavericks","THREEPA",18.3
"437",2010,"Los Angeles Lakers","THREEPA",19
"438",2010,"Atlanta Hawks","THREEPA",17.7
"439",2010,"Oklahoma City Thunder","THREEPA",15
"440",2010,"San Antonio Spurs","THREEPA",18.9
"441",2010,"Indiana Pacers","THREEPA",23.1
"442",2010,"New Orleans Hornets","THREEPA",19.2
"443",2010,"Sacramento Kings","THREEPA",16.9
"444",2010,"Boston Celtics","THREEPA",17.5
"445",2010,"Minnesota Timberwolves","THREEPA",14.4
"446",2010,"Portland Trail Blazers","THREEPA",16.9
"447",2010,"Philadelphia 76ers","THREEPA",16.8
"448",2010,"Milwaukee Bucks","THREEPA",22.1
"449",2010,"Chicago Bulls","THREEPA",13
"450",2010,"Miami Heat","THREEPA",17.4
"451",2010,"Washington Wizards","THREEPA",14.9
"452",2010,"Los Angeles Clippers","THREEPA",17.8
